order_id,book_id,quantity,unit_price
1,BK096,3.0,5.79
1,BK016,2.0,
1,BK031,2.0,7.31
1,BK160,1.0,13.83
2,BK173,2.0,7.23
2,BK056,2.0,9.34
2,BK174,3.0,19.61
2,BK034,1.0,6.58
3,BK173,2.0,7.23
3,BK104,1.0,7.89
3,BK063,3.0,6.42
4,BK093,2.0,10.09
4,BK185,1.0,6.34
4,BK150,1.0,12.36
4,BK193,3.0,12.2
5,BK027,3.0,10.13
5,BK155,3.0,11.93
5,BK194,1.0,5.61
5,BK149,2.0,8.52
5,BK136,2.0,7.6
6,BK117,1.0,5.79
6,BK179,3.0,10.16
7,BK189,1.0,6.02
7,BK136,2.0,7.6
7,BK050,1.0,10.13
7,BK159,1.0,7.27
7,BK105,2.0,6.6
8,BK090,2.0,5.0
8,BK145,1.0,8.2
8,BK001,2.0,10.93
8,BK129,2.0,11.76
9,BK070,3.0,6.3
10,BK144,2.0,16.51
10,BK046,2.0,5.91
10,BK003,1.0,9.58
10,BK011,1.0,16.16
11,BK158,2.0,10.58
11,BK067,2.0,10.97
11,BK111,2.0,7.43
12,BK193,1.0,12.2
12,BK087,2.0,15.27
12,BK157,2.0,16.53
12,BK148,1.0,6.47
13,BK128,2.0,8.29
13,BK174,2.0,19.61
14,BK108,3.0,17.63
14,BK043,1.0,
14,BK034,3.0,6.58
15,BK024,3.0,
15,BK065,2.0,13.11
15,BK117,3.0,5.79
15,BK053,2.0,
16,BK044,1.0,7.97
16,BK085,3.0,10.61
16,BK010,2.0,4.97
17,BK172,3.0,7.19
17,BK147,3.0,12.15
17,BK149,3.0,8.52
17,BK016,3.0,
17,BK141,1.0,10.51
18,BK176,3.0,15.13
18,BK103,2.0,8.07
18,BK189,3.0,6.02
19,BK068,2.0,6.38
19,BK089,1.0,14.57
19,BK066,3.0,3.99
19,BK093,3.0,10.09
19,BK158,2.0,10.58
20,BK120,3.0,
21,BK131,2.0,
21,BK111,2.0,7.43
21,BK087,2.0,15.27
21,BK045,1.0,5.91
21,BK133,1.0,16.75
22,BK162,2.0,
22,BK087,3.0,15.27
22,BK031,2.0,7.31
22,BK010,2.0,4.97
23,BK138,2.0,11.45
23,BK123,2.0,7.28
24,BK147,3.0,12.15
24,BK159,1.0,7.27
24,BK196,2.0,14.67
24,BK166,1.0,11.34
24,BK151,3.0,10.17
25,BK005,3.0,8.6
25,BK007,3.0,9.15
25,BK180,3.0,17.26
26,BK007,3.0,9.15
26,BK094,1.0,12.74
26,BK166,2.0,11.34
27,BK038,3.0,4.64
27,BK095,3.0,5.48
28,BK160,1.0,13.83
28,BK180,3.0,17.26
28,BK072,2.0,9.08
28,BK158,3.0,10.58
29,BK034,1.0,6.58
29,BK140,2.0,6.95
29,BK062,,6.32
29,BK180,3.0,17.26
30,BK188,3.0,13.19
30,BK040,2.0,8.0
31,BK059,1.0,16.91
31,BK078,3.0,6.71
32,BK064,3.0,5.03
33,BK120,,7.16
34,BK113,3.0,15.86
35,BK029,3.0,5.11
35,BK110,2.0,15.83
35,BK097,1.0,
36,BK006,2.0,12.14
36,BK034,2.0,6.58
36,BK134,2.0,23.71
36,BK119,2.0,9.56
36,BK092,3.0,7.91
37,BK086,2.0,7.24
37,BK074,3.0,15.18
37,BK144,2.0,16.51
37,BK003,2.0,9.58
38,BK094,1.0,12.74
39,BK081,2.0,8.55
39,BK148,2.0,6.47
39,BK039,1.0,13.04
40,BK019,2.0,14.23
41,BK093,2.0,10.09
41,BK071,,16.09
42,BK010,3.0,4.97
43,BK105,3.0,6.6
43,BK016,2.0,
43,BK064,3.0,5.03
43,BK161,2.0,14.3
44,BK068,3.0,6.38
44,BK084,2.0,8.55
45,BK184,2.0,17.57
45,BK111,2.0,7.43
45,BK117,2.0,5.79
45,BK190,2.0,12.67
46,BK016,1.0,
47,BK197,3.0,10.91
47,BK027,3.0,10.13
47,BK094,1.0,12.74
47,BK091,,7.75
47,BK160,2.0,13.83
48,BK089,1.0,14.57
48,BK061,1.0,6.99
49,BK144,3.0,16.51
49,BK098,2.0,15.3
49,BK107,3.0,14.49
49,BK172,3.0,7.19
49,BK119,2.0,9.56
50,BK020,1.0,9.13
50,BK127,1.0,10.9
50,BK160,2.0,13.83
50,BK132,1.0,9.48
51,BK129,3.0,11.76
52,BK015,1.0,7.17
52,BK091,3.0,7.75
52,BK143,3.0,11.56
52,BK040,2.0,8.0
52,BK023,2.0,8.99
53,BK044,1.0,7.97
53,BK178,1.0,10.97
53,BK042,1.0,13.02
53,BK025,3.0,9.97
53,BK103,2.0,8.07
54,BK058,2.0,9.86
55,BK009,1.0,5.51
56,BK044,2.0,7.97
56,BK037,1.0,6.93
56,BK024,2.0,
57,BK137,3.0,8.18
57,BK051,1.0,6.32
57,BK092,3.0,7.91
57,BK085,3.0,10.61
57,BK100,2.0,5.85
58,BK163,1.0,
58,BK039,1.0,13.04
58,BK010,1.0,4.97
58,BK034,2.0,6.58
58,BK185,3.0,6.34
59,BK118,1.0,14.28
60,BK112,3.0,11.17
60,BK137,2.0,8.18
60,BK141,2.0,10.51
60,BK114,2.0,8.52
61,BK170,1.0,13.98
61,BK084,3.0,8.55
61,BK145,2.0,8.2
61,BK150,3.0,12.36
61,BK138,1.0,11.45
62,BK161,3.0,14.3
62,BK126,2.0,8.86
62,BK075,3.0,9.63
62,BK088,,7.2
63,BK023,3.0,8.99
64,BK087,2.0,15.27
64,BK154,1.0,3.99
64,BK099,2.0,10.17
64,BK190,3.0,12.67
65,BK011,2.0,16.16
65,BK130,3.0,6.53
65,BK019,3.0,14.23
66,BK064,3.0,5.03
66,BK176,2.0,15.13
66,BK098,2.0,15.3
66,BK025,1.0,9.97
66,BK148,3.0,6.47
67,BK059,3.0,16.91
67,BK070,3.0,6.3
67,BK105,1.0,6.6
68,BK041,2.0,8.97
69,BK012,2.0,12.47
69,BK109,1.0,6.09
70,BK059,3.0,16.91
70,BK156,1.0,8.16
71,BK164,,7.23
71,BK035,1.0,9.92
72,BK097,2.0,5.15
72,BK090,3.0,5.0
72,BK161,1.0,14.3
73,BK104,2.0,7.89
73,BK093,1.0,10.09
73,BK051,1.0,6.32
73,BK197,2.0,
74,BK024,,
74,BK054,3.0,7.48
75,BK026,,4.71
75,BK156,2.0,8.16
75,BK099,1.0,10.17
76,BK002,1.0,
76,BK111,3.0,7.43
76,BK060,3.0,9.28
76,BK128,1.0,8.29
76,BK058,3.0,9.86
77,BK041,3.0,8.97
77,BK180,1.0,17.26
77,BK079,,7.38
77,BK106,3.0,5.99
77,BK147,3.0,12.15
78,BK019,3.0,14.23
78,BK025,3.0,9.97
78,BK036,2.0,5.31
78,BK180,3.0,17.26
79,BK176,2.0,15.13
79,BK188,3.0,13.19
79,BK019,1.0,14.23
79,BK151,2.0,10.17
80,BK007,1.0,9.15
81,BK131,2.0,13.48
82,BK188,1.0,13.19
82,BK006,3.0,12.14
83,BK192,2.0,8.51
83,BK180,1.0,17.26
83,BK188,2.0,13.19
84,BK124,3.0,8.12
85,BK129,2.0,11.76
85,BK028,1.0,7.21
86,BK151,1.0,10.17
87,BK196,1.0,14.67
88,BK080,1.0,8.69
88,BK026,1.0,4.71
88,BK039,1.0,13.04
88,BK170,3.0,13.98
88,BK196,1.0,14.67
89,BK141,2.0,10.51
89,BK068,1.0,6.38
90,BK118,3.0,14.28
91,BK035,2.0,9.92
91,BK096,1.0,5.79
91,BK046,2.0,5.91
