order_id,customer_id,order_date,order_year,delivery_speed,payment_method,discount_pct,total_amount
1,218,2024-04-12,2024,Standard,Card,0,45.82
2,141,2025-03-11,2025,Standard,BankTransfer,10,98.55
3,104,2024-09-27,2024,Express,Card,,41.61
4,210,2024-04-16,2024,Standard,Card,0,75.48
5,111,2024-03-12,2024,Standard,Card,5,104.03
6,104,2025-12-01,2025,Standard,BankTransfer,0,36.27
7,171,2024-01-21,2024,Standard,Card,10,51.82
8,133,2025-09-06,2025,Standard,Card,0,63.58
9,293,2024-05-01,2024,Express,Card,,18.9
10,127,2025-04-11,2025,Standard,Card,15,70.58
11,106,2024-08-02,2024,Standard,Card,0,57.96
12,92,2024-11-26,2024,Standard,Card,0,82.27
13,287,2025-04-03,2025,Express,Card,0,55.8
14,51,2024-03-28,2024,,Card,20,72.63
15,29,2025-01-07,2025,Standard,Card,0,43.59
16,296,2024-04-09,2024,Express,Card,0,49.74
17,297,2025-10-25,2025,Express,Card,0,94.09
18,214,2024-05-10,2024,Express,Card,0,79.59
19,267,2025-10-23,2025,Express,Card,0,90.73
20,257,2024-11-04,2024,Standard,BankTransfer,5,0.0
21,101,2026-02-08,2026,Express,Card,20,68.06
22,110,2024-12-09,2024,Standard,Card,0,70.37
23,182,2025-05-06,2025,Express,Card,0,37.46
24,1,2025-02-17,2025,Standard,BankTransfer,0,114.91
25,55,2025-01-20,2025,Express,Card,0,105.03
26,149,2024-07-10,2024,Standard,Card,15,62.87
27,137,2024-10-03,2024,,Card,,30.36
28,202,2024-06-09,2024,Standard,Card,0,115.51
29,117,2025-04-04,2025,Next-day,Card,5,72.26
30,154,2024-11-09,2024,Express,Card,0,55.57
31,291,2024-01-22,2024,Standard,Card,5,37.04
32,63,2024-09-09,2024,Standard,BankTransfer,0,15.09
33,244,2026-01-17,2026,Standard,Card,10,0.0
34,25,2025-07-14,2025,,Card,15,47.58
35,90,2025-04-19,2025,Express,Card,5,46.99
36,75,2024-02-28,2024,Standard,Card,20,127.71
37,294,2025-05-25,2025,Standard,Card,,112.2
38,210,2025-11-12,2025,Express,Card,0,12.74
39,17,2025-04-20,2025,Standard,Card,,43.08
40,128,2025-11-30,2025,Standard,PayPal,0,28.46
41,251,2026-02-21,2026,Standard,PayPal,0,20.18
42,179,2024-07-08,2024,Standard,Card,0,14.91
43,182,2025-11-17,2025,Standard,Card,0,63.49
44,152,2025-07-16,2025,Standard,PayPal,0,36.24
45,25,2025-07-20,2025,Standard,Card,0,86.92
46,180,2024-08-31,2024,Express,PayPal,5,0.0
47,198,2025-05-19,2025,Standard,Card,0,103.52
48,161,2024-05-10,2024,Express,Card,0,21.56
49,177,2025-04-29,2025,Standard,Card,0,164.29
50,285,2025-10-08,2025,Standard,,0,57.17
51,63,2024-01-21,2024,Standard,Card,15,35.28
52,150,2024-06-15,2024,Standard,Card,0,99.08
53,154,2024-09-30,2024,Standard,Card,0,78.01
54,156,2025-01-22,2025,Next-day,Card,10,19.72
55,49,2025-08-23,2025,Standard,Card,0,5.51
56,84,2024-11-11,2024,Standard,BankTransfer,0,22.87
57,177,2024-01-14,2024,Express,Card,0,98.12
58,148,2024-08-29,2024,Standard,PayPal,15,50.19
59,118,2026-02-15,2026,Standard,Card,0,14.28
60,63,2024-12-11,2024,Standard,Card,0,87.93
61,189,2025-07-18,2025,Standard,BankTransfer,0,104.56
62,49,2024-12-05,2024,Standard,Card,0,89.51
63,257,2024-04-01,2024,Standard,Card,0,26.97
64,224,2025-01-01,2025,Express,Card,0,92.88
65,141,2025-03-30,2025,Standard,Card,0,94.6
66,215,2025-03-03,2025,Standard,Card,,105.33
67,211,2025-05-23,2025,Express,PayPal,10,76.23
68,32,2026-02-14,2026,Standard,Card,0,17.94
69,158,2024-02-04,2024,Standard,Card,10,31.03
70,285,2024-07-24,2024,Standard,Card,0,58.89
71,286,2024-03-21,2024,Next-day,Card,0,9.92
72,144,2025-07-15,2025,Standard,Card,5,39.6
73,19,2025-01-22,2025,Standard,Card,10,32.19
74,18,2024-01-02,2024,Standard,Card,10,22.44
75,257,2025-01-24,2025,Standard,Card,0,26.49
76,78,2025-07-19,2025,Express,Card,15,88.0
77,175,2024-04-15,2024,Next-day,Card,0,98.59
78,194,2026-02-10,2026,Standard,Card,15,135.0
79,113,2025-04-21,2025,,Card,20,104.4
80,114,2025-12-03,2025,Standard,PayPal,0,9.15
81,222,2025-02-05,2025,Express,Card,5,26.96
82,166,2025-12-30,2025,Standard,Card,0,49.61
83,132,2025-07-09,2025,Standard,Card,0,60.66
84,264,2024-06-10,2024,Standard,Card,0,24.36
85,55,2024-07-20,2024,Standard,Card,0,30.73
86,131,2024-09-26,2024,Standard,Card,15,10.17
87,288,2024-09-27,2024,Standard,Card,5,14.67
88,266,2025-03-31,2025,Standard,Card,0,83.05
89,162,2025-04-06,2025,Express,Card,10,27.4
90,87,2025-12-27,2025,Standard,Card,,42.84
91,55,2024-09-08,2024,Standard,Card,0,50.49
92,288,2025-12-02,2025,Standard,Card,,61.38
93,178,2024-10-22,2024,Standard,BankTransfer,0,148.41
94,8,2025-12-25,2025,Standard,PayPal,10,52.09
95,247,2025-12-20,2025,Standard,PayPal,0,93.26
96,255,2026-01-18,2026,Standard,PayPal,0,48.23
97,54,2024-12-03,2024,Standard,PayPal,0,62.1
98,249,2024-02-22,2024,Standard,Card,5,58.54
99,239,2024-08-04,2024,Standard,Card,0,27.72
100,229,2026-02-02,2026,Express,Card,0,18.92
101,67,2024-07-06,2024,Standard,Card,0,7.6
102,51,2025-01-14,2025,Express,,15,15.5
103,97,2025-05-07,2025,Standard,Card,0,5.91
104,92,2024-02-10,2024,Standard,Card,0,18.56
105,264,2024-06-05,2024,Standard,Card,0,23.12
106,291,2024-01-15,2024,Standard,PayPal,0,71.16
107,96,2024-03-05,2024,Express,Card,10,51.78
108,88,2025-06-04,2025,Standard,Card,10,17.22
109,78,2024-12-09,2024,Express,Card,0,50.64
110,288,2024-05-08,2024,Standard,Card,,101.77
111,120,2025-10-09,2025,Standard,PayPal,10,24.76
112,165,2025-04-16,2025,Standard,Card,,26.66
113,182,2024-03-03,2024,Standard,PayPal,10,33.05
114,223,2024-05-18,2024,Standard,Card,5,17.97
115,7,2025-05-13,2025,Standard,Card,10,63.85
116,263,2025-08-15,2025,Standard,Card,0,27.39
117,161,2025-01-26,2025,Standard,Card,0,55.82
118,151,2025-11-05,2025,Standard,Card,20,54.67
119,85,2025-02-22,2025,Next-day,,0,67.03
120,147,2024-10-15,2024,Express,Card,5,5.11
121,112,2025-01-13,2025,Standard,PayPal,0,6.93
122,36,2026-02-11,2026,Standard,Card,5,58.72
123,285,2025-05-04,2025,Standard,PayPal,0,82.77
124,188,2024-08-18,2024,Express,Card,0,8.29
125,82,2024-02-10,2024,Standard,Card,0,48.94
126,2,2024-01-28,2024,Standard,Card,5,74.62
127,197,2024-05-14,2024,Express,Card,10,50.67
128,11,2024-07-19,2024,Standard,Card,0,73.72
129,234,2026-02-18,2026,Standard,Card,0,50.48
130,195,2024-02-02,2024,Standard,Card,,111.18
131,119,2024-02-17,2024,Standard,PayPal,0,41.88
132,20,2025-05-17,2025,Standard,Card,0,90.67
133,261,2025-02-10,2025,Standard,PayPal,0,55.21
134,293,2025-07-27,2025,Standard,Card,0,23.69
135,256,2025-12-28,2025,Standard,Card,0,13.06
136,222,2024-04-08,2024,Express,Card,,24.72
137,226,2025-11-14,2025,Standard,Card,0,33.63
138,53,2025-12-26,2025,Standard,Card,0,56.37
139,280,2025-06-30,2025,Standard,Card,0,34.62
140,81,2026-01-08,2026,Express,Card,0,23.62
141,202,2025-09-04,2025,Standard,Card,0,59.88
142,158,2025-04-06,2025,Standard,PayPal,10,54.64
143,120,2025-10-04,2025,Express,PayPal,0,0.0
144,59,2026-02-07,2026,Express,Card,0,35.33
145,215,2024-01-05,2024,Standard,Card,,36.28
146,128,2024-08-05,2024,Express,Card,0,108.63
147,224,2025-05-17,2025,Standard,Card,0,20.43
148,209,2026-02-05,2026,Standard,Card,0,73.66
149,115,2025-02-01,2025,Standard,Card,15,75.6
150,209,2025-01-27,2025,Standard,Card,,66.05
151,14,2024-07-25,2024,Standard,Card,20,79.93
152,9,2024-01-15,2024,Standard,Card,0,24.68
153,40,2025-07-07,2025,Standard,PayPal,0,12.04
154,237,2025-04-05,2025,Standard,PayPal,0,66.16
155,281,2025-11-21,2025,Express,Card,0,33.63
156,201,2025-07-28,2025,Standard,PayPal,0,18.74
157,246,2026-01-12,2026,Standard,BankTransfer,,24.57
158,278,2024-08-28,2024,Standard,Card,0,79.42
159,235,2025-07-17,2025,Express,Card,15,121.78
160,4,2024-04-05,2024,Standard,Card,10,74.85
161,154,2026-01-03,2026,Next-day,PayPal,0,48.78
162,29,2025-04-29,2025,Standard,PayPal,0,48.59
163,109,2025-02-10,2025,Standard,Card,0,11.45
164,98,2024-08-18,2024,Standard,Card,0,64.14
165,215,2026-01-18,2026,Standard,Card,0,53.56
166,293,2025-10-16,2025,Standard,Card,0,37.83
167,75,2024-06-19,2024,Express,Card,0,65.03
168,146,2025-06-24,2025,Standard,PayPal,0,94.1
169,128,2024-02-05,2024,Standard,Card,,13.92
170,42,2025-06-08,2025,Express,PayPal,5,28.95
171,41,2024-06-08,2024,Standard,PayPal,15,0.0
172,34,2025-11-29,2025,Express,Card,0,126.33
173,17,2024-08-30,2024,Standard,Card,0,26.02
174,165,2024-03-26,2024,Standard,Card,0,36.77
175,153,2025-07-31,2025,Standard,Card,,13.42
176,76,2025-11-12,2025,Standard,Card,0,62.95
177,87,2025-07-10,2025,Express,,5,52.2
178,117,2025-07-27,2025,Standard,Card,5,147.51
179,27,2025-10-07,2025,Standard,Card,0,53.1
180,287,2024-01-28,2024,Standard,Card,0,78.6
181,134,2025-09-11,2025,Standard,Card,0,69.67
182,219,2025-07-09,2025,Express,Card,0,57.94
183,168,2024-12-05,2024,Standard,Card,0,33.68
184,98,2024-11-26,2024,Standard,Card,0,14.7
185,268,2025-10-01,2025,Next-day,Card,0,93.7
186,237,2025-05-20,2025,Standard,Card,20,60.06
187,173,2024-12-13,2024,Express,Card,0,56.86
188,190,2025-04-17,2025,Standard,Card,5,30.17
189,122,2024-08-18,2024,Standard,Card,,61.31
190,46,2024-07-08,2024,Standard,PayPal,0,53.45
191,64,2024-08-12,2024,Standard,Card,0,32.88
192,130,2025-01-19,2025,Next-day,Card,0,71.29
193,193,2025-01-11,2025,Standard,Card,0,21.16
194,181,2024-10-09,2024,Standard,Card,,10.96
195,292,2025-09-24,2025,Standard,Card,5,76.58
196,282,2025-09-19,2025,Standard,Card,0,94.31
197,29,2026-01-14,2026,Standard,Card,0,0.0
198,149,2024-09-15,2024,Next-day,Card,15,14.34
199,267,2024-12-24,2024,Standard,Card,0,67.43
200,296,2025-12-10,2025,Standard,Card,,11.82
201,11,2025-03-31,2025,Standard,Card,0,14.56
202,164,2025-02-14,2025,Standard,BankTransfer,10,21.72
203,113,2025-10-10,2025,Standard,Card,,35.45
204,187,2024-11-13,2024,Standard,Card,,106.29
205,295,2025-11-07,2025,Express,Card,15,37.88
206,232,2024-08-12,2024,Standard,Card,10,57.94
